Genere,Diam base,Diam 130cm,Volume dendrometrico,Volume cormometrico,Altezza indicativa
Faggio,34,28,0.638,0.497,
Faggio,35,29,0.691,0.537,
Faggio,37,30,0.744,0.584,18.7
Faggio,38,31,0.819,0.647,
Faggio,39,32,0.895,0.71,
Faggio,40,33,0.971,0.773,
Faggio,42,34,1.047,0.837,
Faggio,43,35,1.123,0.901,20.6
Faggio,44,36,1.216,0.982,
Faggio,45,37,1.309,1.063,
Faggio,47,38,1.402,1.145,
Faggio,48,39,1.495,1.227,
Faggio,49,40,1.588,1.309,22.5
Faggio,so,41,1.693,1.401,
Faggio,52,42,1.798,1.493,
Faggio,53,43,1.803,1.585,
Faggio,54,44,1.909,1.677,
Faggio,56,45,2.115,1.769,23.8
Faggio,57,46,2.238,1.869,
Faggio,58,47,2.361,1.97,
Faggio,60,48,2.484,2.071,
Faggio,61,49,2.608,2.172,
Faggio,62,50,2.732,2.273,24.8
Faggio,63,51,2.863,2.393,
Faggio,64,52,2.995,2.513,
Faggio,66,53,3.128,2.633,
Faggio,67,54,3.26,2.753,
Faggio,68,55,3.391,2.874,25.8
Faggio,70,56,3.594,2.916,
Faggio,71,57,3.728,3.1,
Faggio,72,58,3.862,3.24,
Faggio,74,59,3.996,3.363,
Faggio,75,60,4.057,3.486,25.8
Faggio,76,61,4.197,3.61,
Faggio,78,62,4.337,3.734,
Faggio,79,63,4.477,3.859,
Faggio,80,64,4.617,3.984,
Faggio,82,65,4.757,4.109,26.1
Faggio,83,66,4.901,4.235,
Faggio,84,67,5.045,4.361,
Faggio,86,68,5.189,4.487,
Faggio,87,69,5.333,4.614,
Faggio,88,70,5.477,4.741,26.5
Faggio,90,71,5.623,4.8,
Faggio,91,72,5.769,4.995,
Faggio,92,73,5.915,5.122,
Faggio,94,74,6.061,5.256,
Faggio,95,75,6.207,5.378,26.8
Faggio,96,76,6.355,5.507,
Faggio,98,77,6.503,5.636,
Faggio,99,78,6.651,5.765,
Faggio,100,79,6.799,5.894,
Faggio,102,80,6.947,6.023,26.9
Faggio,103,81,7.097,6.153,
Faggio,104,82,7.247,6.23,
Faggio,106,83,7.397,6.414,
Faggio,107,84,7.547,6.545,
Faggio,108,85,7.697,6.676,26.8
Faggio,110,86,7.849,6.808,
Faggio,111,87,8.001,6.94,
Faggio,112,88,8.153,7.072,
Faggio,114,89,8.305,7.204,
Faggio,115,90,8.457,7.337,26.8
Faggio,116,91,8.615,7.47,
Faggio,118,92,8.773,7.604,
Faggio,119,93,8.931,7.738,
Faggio,120,94,9.089,7.872,
Faggio,122,95,9.247,8.006,26.8
Faggio,123,96,9.407,8.141,
Faggio,124,97,9.567,8.276,
Faggio,126,98,9.727,8.4,
Faggio,127,99,9.817,8.547,
Faggio,128,100,10.047,8.683,26.8
Pino laricio,9,7,,0.016,7.9
Pino laricio,10,8,,0.022,8.3
Pino laricio,11,9,,0.029,8.65
Pino laricio,13,10,,0.037,9
Pino laricio,14,11,,0.045,9.35
Pino laricio,15,12,,0.054,9.6
Pino laricio,16,13,,0.064,9.85
Pino laricio,17,14,,0.075,10.1
Pino laricio,19,15,,0.087,10.35
Pino laricio,20,16,,0.1,10.6
Pino laricio,21,17,,0.115,10.85
Pino laricio,22,18,,0.13,11.1
Pino laricio,23,19,,0.146,11.3
Pino laricio,24,20,,0.164,11.5
Pino laricio,25,21,,0.182,11.7
Pino laricio,25,22,,0.2,11.9
Pino laricio,26,23,,0.219,12.1
Pino laricio,27,24,,0.238,12.3
Pino laricio,28,25,,0.257,12.5
Pino laricio,29,26,,0.276,12.7
Pino laricio,30,27,,0.296,12.85
Pino laricio,31,28,,0.316,13
Pino laricio,33,29,,0.336,13.15
Pino laricio,34,30,,0.357,13.3
Pino laricio,35,31,,0.378,13.45
Pino laricio,36,32,,0.399,13.6
Pino laricio,37,33,,0.422,13.75
Pino laricio,38,34,,0.445,13.85
Pino laricio,40,35,,0.469,13.95
